"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Cód.","Município","Ano x Produto das lavouras temporárias e permanentes"
"Cód.","Município","2010"
"Cód.","Município","Total"
"1303908","São Paulo de Olivença (AM)","361"
"1303957","São Sebastião do Uatumã (AM)","544"
"1304005","Silves (AM)","778"
"1304062","Tabatinga (AM)","630"
"1304104","Tapauá (AM)","2731"
"1304203","Tefé (AM)","10711"
"1304237","Tonantins (AM)","1761"
"1304260","Uarini (AM)","6078"
"1304302","Urucará (AM)","2421"
"1304401","Urucurituba (AM)","1203"
"1400027","Amajari (RR)","1993"
"1400050","Alto Alegre (RR)","4148"
"1400100","Boa Vista (RR)","3290"
"1400159","Bonfim (RR)","5429"
"1400175","Cantá (RR)","3796"
"1400209","Caracaraí (RR)","1724"
"1400233","Caroebe (RR)","3423"
"1400282","Iracema (RR)","2150"
"1400308","Mucajaí (RR)","4578"
"1400407","Normandia (RR)","3040"
"1400456","Pacaraima (RR)","1367"
"1400472","Rorainópolis (RR)","4186"
"1400506","São João da Baliza (RR)","1339"
"1400605","São Luiz (RR)","1246"
"1400704","Uiramutã (RR)","484"
"1500107","Abaetetuba (PA)","2295"
"1500131","Abel Figueiredo (PA)","3700"
"1500206","Acará (PA)","35326"
"1500305","Afuá (PA)","..."
"1500347","Água Azul do Norte (PA)","2203"
"1500404","Alenquer (PA)","13195"
"1500503","Almeirim (PA)","534"
"1500602","Altamira (PA)","16503"
"1500701","Anajás (PA)","222"
"1500800","Ananindeua (PA)","10"
"1500859","Anapu (PA)","7521"
"1500909","Augusto Corrêa (PA)","6217"
"1500958","Aurora do Pará (PA)","12675"
"1501006","Aveiro (PA)","2735"
"1501105","Bagre (PA)","300"
"1501204","Baião (PA)","5053"
"1501253","Bannach (PA)","491"
"1501303","Barcarena (PA)","2615"
"1501402","Belém (PA)","..."
"1501451","Belterra (PA)","27274"
"1501501","Benevides (PA)","..."
"1501576","Bom Jesus do Tocantins (PA)","3480"
"1501600","Bonito (PA)","6640"
"1501709","Bragança (PA)","11610"
"1501725","Brasil Novo (PA)","4889"
"1501758","Brejo Grande do Araguaia (PA)","1625"
"1501782","Breu Branco (PA)","4970"
"1501808","Breves (PA)","1105"
"1501907","Bujaru (PA)","2218"
"1501956","Cachoeira do Piriá (PA)","3978"
"1502004","Cachoeira do Arari (PA)","19"
"1502103","Cametá (PA)","9229"
"1502152","Canaã dos Carajás (PA)","2544"
"1502202","Capanema (PA)","5036"
"1502301","Capitão Poço (PA)","16850"
"1502400","Castanhal (PA)","10338"
"1502509","Chaves (PA)","..."
"1502608","Colares (PA)","1366"
"1502707","Conceição do Araguaia (PA)","4900"
"1502756","Concórdia do Pará (PA)","8762"
"1502764","Cumaru do Norte (PA)","9275"
"1502772","Curionópolis (PA)","2294"
"1502806","Curralinho (PA)","267"
"1502855","Curuá (PA)","2760"
"1502905","Curuçá (PA)","869"
"1502939","Dom Eliseu (PA)","22600"
"1502954","Eldorado do Carajás (PA)","2380"
"1503002","Faro (PA)","5201"
"1503044","Floresta do Araguaia (PA)","12560"
"1503077","Garrafão do Norte (PA)","8160"
"1503093","Goianésia do Pará (PA)","4180"
"1503101","Gurupá (PA)","553"
"1503200","Igarapé-Açu (PA)","7562"
"1503309","Igarapé-Miri (PA)","2207"
"1503408","Inhangapi (PA)","2345"
"1503457","Ipixuna do Pará (PA)","19858"
"1503507","Irituia (PA)","1097"
"1503606","Itaituba (PA)","18393"
"1503705","Itupiranga (PA)","18765"
"1503754","Jacareacanga (PA)","1943"
"1503804","Jacundá (PA)","2124"
"1503903","Juruti (PA)","9791"
"1504000","Limoeiro do Ajuru (PA)","192"
"1504059","Mãe do Rio (PA)","4435"
"1504109","Magalhães Barata (PA)","1614"
"1504208","Marabá (PA)","10100"
"1504307","Maracanã (PA)","2573"
"1504406","Marapanim (PA)","2370"
"1504422","Marituba (PA)","..."
"1504455","Medicilândia (PA)","34213"
"1504505","Melgaço (PA)","280"
"1504604","Mocajuba (PA)","2660"
