"CD_GEOCMU","areamunic","precclimme","prec2010me","temp2010me","tempclimme"
1200328,538889.177163,1997.0670776367,1949.7128295898,26.8240302404,26.5200602214
1200336,545098.705838,2150.4721679688,1502.9138183594,27.0496854782,26.5745000839
1200344,1079392.45819,1940.3756760817,1501.7919546274,26.548372122,26.4187520834
1200351,817663.255496,1935.1924845378,1656.3810628255,26.8496106466,26.5401697159
1200385,197002.618427,1959.9916626392,1661.0285318215,26.551806536,26.2486392153
1200393,633409.951979,2068.4658691406,1601.5919677734,26.8470207214,26.5467010498
1200401,895181.615991,1819.7336600167,1462.4477451869,26.4900088991,26.2367448807
1200427,307652.259832,2112.9375813802,1417.3875732422,26.9902311961,26.5695419312
1200435,613923.14606,1998.3321289063,1551.6640380859,26.5851436615,26.4374778748
1200450,235987.05693,1939.2198893229,1670.7021484375,26.5947914124,26.2551129659
1200500,2396885.18681,1846.0143531061,1434.0689421623,26.4692193308,26.3432290477
1200609,2029275.48502,2154.782799354,2017.603919396,26.8371688403,26.515877577
1200708,540849.472651,1738.2119140625,1515.0821533203,26.1340227127,26.2201123238
1200807,267018.663838,1943.5229085287,1745.4202880859,26.6443538666,26.2558727264
1300029,607881.685723,2623.9940185547,2081.983795166,28.4517710209,27.372159481
1300060,481769.451866,2557.8578830295,1584.5475531684,27.8654958937,26.9647214678
1300086,258666.175733,2497.183186849,2268.8396809896,27.9609864553,27.3726437887
1300102,609572.715869,2440.3734654018,2387.9259207589,28.0642441341,27.4283054897
1300144,5836589.26551,2445.6384955512,2391.5352681478,27.33012059,27.2597333855
1300201,7655114.0779,2483.0922221522,2127.5638795258,27.2686889402,26.657722227
1300300,817838.099005,2228.0008789063,2060.7377929688,28.1806308746,27.5921455383
1300409,12756722.7503,2391.9983157387,2393.0049956117,28.0463781719,27.4973678468
1300508,634370.153028,2272.1629333496,1949.1363220215,28.4040174484,27.9124548435
1300607,884593.332593,2497.1989949544,2292.2361857096,27.512090524,26.7173388799
1300631,1818887.29852,2381.2153320313,2296.6979431152,28.1363315582,27.5000693321
1300680,283363.830745,2228.0194498698,2013.0006103516,28.1059055328,27.6640542348
1300706,2225141.15703,1947.7795448303,1493.0727729797,27.1161074042,26.4305695891
1300805,4759818.18312,2271.0018057988,2095.1552060884,28.118472461,27.581665335
1300839,996942.892685,2454.2947126116,2195.1171700614,28.1236673083,27.458200046
1300904,3089086.56757,2269.9046373869,1767.7534019069,27.8596413763,27.0770424793
1301001,2621814.55641,2597.3190987723,2548.0719063895,27.8854699271,27.0001589094
1301100,651419.48412,2268.8827459162,1706.5098322088,28.2756762071,27.6110343933
1301159,282700.102157,2271.151550293,2060.1546936035,28.1923713684,27.6284894943
1301209,6002196.43897,2407.8840759277,2240.6178924561,28.3829777479,27.4453033209
1301308,1955227.06721,2510.8262329102,2690.1473185221,28.1735432943,27.4485091368
1301407,1510433.11705,2416.1261097301,2047.850752397,27.2519741925,26.716747544
1301506,755233.176196,2367.1630859375,1852.9984130859,26.9069332547,26.6144460042
1301605,1238115.53327,2860.5625143612,2417.2619772518,27.8671724656,27.148378821
1301654,758387.421172,2173.6289760045,1631.7508021763,27.088702883,26.5791432517
1301704,3465479.45961,2212.6807861328,1837.6509602865,27.8497678545,27.3118324704
1301803,1208199.44816,2276.6801757813,2040.8685073853,26.9769825935,26.5855520964
1301852,236258.436694,2267.5077311198,1420.2220052083,28.3294658661,27.6080099742
1301902,964455.313118,2273.2761452415,2029.0265669389,28.1922324787,27.5229011882
1301951,2562870.60308,2545.4960650276,2488.5980188706,27.4249687195,26.7498715906
